Row	RPPA Core Ab Name**	Ab Name Reported on Dataset	Gene Name	NCBI Entrez Gene ID	Company	Catalog 	Internal Ab ID	RRID	Species	Validation Status*	RPPA Dilution	Storage
137	Cyclophilin F	Cyclophilin-F	PPIF	10105	Abcam	ab110324	1257	AB_10864110	Mouse	Valid	 1:75000	4
138	DAP Kinase 1 (phospho S308)	DAPK1_pS308	DAPK1	1612	GeneTex	GTX10524	1770	AB_381070	Mouse	Caution	 1:200	-20
139	DAP Kinase 2	DAPK2	DAPK2	23604	Abcam	ab51601	1744	AB_869404	Rabbit	Caution	 1:50	-20
141	DDB-1	DDB-1	DDB1	1642	CST	6998	1980	AB_10829458	Rabbit	Valid	 1:5000	-20
142	DDR1	DDR1	DDR1	780	CST	5583	2402	AB_10694842	Rabbit	Valid	 1:250	-20
143	DDR1 (phospho Tyr513)	DDR1_pY513	DDR1	780	Millipore Sigma	SAB4504671	2403	AB_2868545	Rabbit	Caution	 1:10000	-20
148	DNA Ligase IV	DNA-Ligase-IV	LIG4	3981	CST	14649	2030	AB_2750871	Rabbit	Caution	 1:250	-20
147	DNA Polymerase gamma	DNA-POLG	POLG	5428	CST	13609	2371	AB_2750886	Rabbit	Valid	 1:250	-20
149	DNMT1	DNMT1	DNMT1	1786	CST	5032	2344	AB_10548197	Rabbit	Valid	 1:300	-20
150	DRP1	DRP1	DNM1L	10059	CST	5391	2373	AB_11178938	Rabbit	Valid	 1:1500	-20
151	DUSP4/MKP2	DUSP4	DUSP4	1846	CST	5149	1406	AB_2750867	Rabbit	Valid	 1:150	-20
152	DUSP6	DUSP6	DUSP6	1848	Abcam	ab76310	1936	AB_1523517	Rabbit	Caution	 1:500	-20
153	Dvl3	Dvl3	DVL3	1857	CST	3218	940	AB_10694060	Rabbit	Valid	 1:30	-20
154	DYRK1B	DYRK1B	DYRK1B	9149	CST	5672	2551	AB_10705603	Rabbit	Caution	 1:500	-20
155	E2F-1	E2F1	E2F1	1869	CST	3742	2466	AB_2096936	Rabbit	Valid	 1:50	-20
156	E-Cadherin	E-Cadherin	CDH1	999	GeneTex	GTX33614	2514	AB_2801514	Rabbit	Valid	 1:500	-20
157	eEF2	eEF2	EEF2	1938	CST	2332	1060	AB_10693546	Rabbit	Caution	 1:50	-20
158	eEF2K	eEF2K	EEF2K	29904	CST	3692	1061	AB_10694413	Rabbit	Valid	 1:50	-20
159	EGF Receptor	EGFR	EGFR	1956	CST	2232	1120	AB_331707	Rabbit	Valid	 1:100	-20
160	EGF Receptor (phospho Tyr1173)	EGFR_pY1173	EGFR	1956	Epitomics/Abcam	1124-1/ab32578	221	AB_873776	Rabbit	Valid	 1:300	-20
161	eIF4E	eIF4E	EIF4E	1977	CST	9742	722	AB_823488	Rabbit	Valid	 1:75	-20
162	eIF4E (phospho Ser209)	eIF4E_pS209	EIF4E	1977	Abcam	ab76256	1871	AB_1523534	Rabbit	Valid	 1:150	-20
163	eIF4G	eIF4G	EIF4G1	1981	CST	2498	1124	AB_2096025	Rabbit	Caution	 1:1000	-20
164	Elk-1 (phospho Ser383)	Elk1_pS383	ELK1	2002	CST	9181	228	AB_2099016	Rabbit	Caution	 1:37	-20
166	Enolase-1	Enolase-1	ENO1	2023	CST	3810	2337	AB_2246524	Rabbit	Valid	 1:50	-20
167	Enolase-2	Enolase-2	ENO2	2026	CST	8171	2338	AB_11178392	Rabbit	Valid	 1:100	-20
